date,All items,All items less food and energy,Food,Energy,Apparel,Education and communication,Other goods and services,Medical care,Recreation,Transportation
2004-01-01,186.3,194.6,183.4,143.9,120.1,110.9,301.7,303.8,108.0,159.8
2004-02-01,186.7,194.9,183.9,145.8,120.1,111.2,302.0,305.2,108.4,160.7
2004-03-01,187.1,195.5,184.2,145.1,120.4,111.3,302.7,306.5,108.6,160.8
2004-04-01,187.4,195.9,184.6,143.4,120.6,111.3,303.2,307.8,108.7,159.8
2004-05-01,188.2,196.2,186.1,147.6,120.9,111.2,303.4,308.6,108.6,161.6
2004-06-01,188.9,196.6,186.4,151.5,121.2,111.5,303.8,309.8,108.9,162.8
2004-07-01,189.1,196.8,186.8,151.1,121.0,111.6,305.1,310.8,108.7,162.3
2004-08-01,189.2,196.9,187.0,151.5,120.3,111.6,305.9,311.8,108.6,162.1
2004-09-01,189.8,197.5,186.9,152.9,120.0,112.0,306.5,312.9,108.7,163.4
2004-10-01,190.8,197.9,187.8,158.6,120.3,111.8,306.9,314.0,108.8,166.7
2004-11-01,191.7,198.3,188.4,163.8,120.6,112.1,307.4,314.7,108.8,169.1
2004-12-01,191.7,198.6,188.4,162.3,119.8,112.3,308.2,315.8,108.8,168.5
2005-01-01,191.6,199.0,188.7,157.2,120.3,112.5,309.6,316.9,109.1,166.5
2005-02-01,192.4,199.4,188.6,161.8,120.0,112.8,310.5,318.4,109.0,168.4
2005-03-01,193.1,200.1,189.1,163.5,120.5,113.0,310.9,319.7,108.9,169.2
2005-04-01,193.7,200.2,190.4,166.7,119.9,113.4,311.2,320.7,109.0,170.3
2005-05-01,193.6,200.5,190.6,163.3,119.9,113.4,312.1,321.8,109.3,168.7
2005-06-01,193.7,200.6,190.5,163.7,119.4,113.5,312.2,322.8,109.0,169.1
2005-07-01,194.9,200.9,190.9,172.8,119.0,113.7,314.0,324.1,109.1,172.8
2005-08-01,196.1,201.1,191.1,183.5,119.5,113.5,314.9,324.2,109.3,177.3
2005-09-01,198.8,201.3,191.5,208.2,119.1,114.4,315.2,325.3,109.7,187.7
2005-10-01,199.1,202.0,192.0,205.9,119.0,114.3,315.4,326.9,110.0,184.5
2005-11-01,198.1,202.5,192.6,191.0,119.2,114.8,316.5,328.7,109.9,176.8
2005-12-01,198.1,202.8,192.9,187.6,118.6,115.0,317.6,329.2,110.0,176.0
2006-01-01,199.3,203.2,193.6,196.6,118.9,115.5,318.4,329.6,110.1,179.0
2006-02-01,199.4,203.6,193.7,194.1,117.8,115.6,318.9,331.2,110.2,178.5
2006-03-01,199.7,204.3,194.0,192.0,119.1,115.8,319.7,332.6,110.5,178.1
2006-04-01,200.7,204.8,193.8,198.5,119.6,116.2,319.6,333.8,110.9,181.8
2006-05-01,201.3,205.4,194.1,199.8,119.9,116.3,319.9,335.0,111.0,182.7
2006-06-01,201.8,205.9,194.7,199.8,120.1,116.7,321.3,336.0,111.1,183.0
